filename,character_count,word_count,line_count
vol 1_chap01001,9578,2147,1
vol 1_chap01002,21457,4859,1
vol 1_chap01003,14884,3380,1
vol 1_chap01004,19131,4342,1
vol 1_chap01005,24085,5568,1
vol 1_chap01006,22684,5072,1
vol 1_chap01007,21675,4910,1
vol 1_chap01008,18898,4299,1
vol 1_chap01009,19612,4454,1
vol 1_chap01010,14908,3327,1
vol 1_chap01011,13870,3119,1
vol 1_chap01012,9035,2017,1
vol 1_chap01013,10156,2262,1
vol 1_chap01014,5922,1337,1
vol 1_chap01015,8917,1989,1
vol 1_chap01016,8633,1938,1
vol 1_chap01017,7985,1794,1
vol 1_chap01018,6603,1467,1
vol 1_chap01019,9248,2074,1
vol 1_chap01020,6840,1538,1
vol 1_chap01021,8559,1925,1
vol 1_chap01022,8816,1951,1
vol 1_chap01023,9205,2048,1
vol 1_chap01024,10657,2442,1
vol 1_chap01025,10950,2473,1
vol 1_chap01026,9045,2038,1
vol 1_chap01027,1727,391,1
vol 1_chap01028,2029,459,1
vol 1_chap01029,1793,419,1
vol 1_chap01030,3958,897,1
vol 1_chap01031,3840,873,1
vol 1_chap01032,4462,1005,1
vol 1_chap01033,3651,841,1
vol 1_chap01034,5919,1363,1
vol 1_chap01035,6025,1381,1
vol 2_131702001,11382,2582,1
vol 2_131702002,10530,2375,1
vol 2_131702003,6060,1410,1
vol 2_131702004,14450,3225,1
vol 2_131702005,11072,2417,1
vol 2_131702006,9833,2258,1
vol 2_131702007,12249,2718,1
vol 2_131702008,9496,2110,1
vol 2_131702009,8016,1789,1
vol 2_131702010,9669,2224,1
vol 2_131702011,8562,1900,1
vol 2_131702012,6923,1529,1
vol 2_131702013,8139,1830,1
vol 2_131702014,6548,1469,1
vol 2_131702015,10397,2391,1
vol 2_131702016,8372,1845,1
vol 2_131702017,8730,1976,1
vol 2_131702018,7807,1722,1
vol 2_131702019,7907,1743,1
vol 2_131702020,10135,2251,1
vol 2_131702021,9938,2230,1
vol 2_131702022,6907,1545,1
vol 2_131702023,8329,1850,1
vol 2_131702024,9538,2122,1
vol 2_131702025,9382,2095,1
vol 2_131702026,7712,1700,1
vol 2_131702027,7160,1561,1
vol 2_131702028,8816,1956,1
vol 2_131702029,7281,1623,1
