filename,character_count,word_count,line_count
Chương 01_ Takatsuki Makoto Thật Sự Quá Yếu Đuối,21560,4880,1
Chương 02_ Takatsuki Makoto Bị Bỏ Lại Phía Sau,14985,3401,1
Chương 03_ Takatsuki Makoto Rời Khỏi Thần Điện,19232,4362,1
Chương 04_ Takatsuki Makoto Gặp Mặt Nữ Thần,24183,5588,1
Chương 05_ Takatsuki Makoto Hội Ngộ Với Người Bạn Của Mình,22797,5095,1
Chương 06_ Thỉnh Cầu Từ Nữ Thần,21761,4929,1
Chương 07_ Takatsuki Makoto Nhận Được Một Biệt Danh Nhàm Chán,19014,4322,1
Chương 08_ Nhìn Về Phía Này Như Thể Muốn Trở Thành Đồng Minh Của Tôi,19735,4481,1
Volume 0 by Mikachi,390046,87043,1
Volume 1 by KARASU-KAI,449450,101052,1
Volume 1 by Rom-Com iz da bezt,397442,89378,1
Volume 1 by Đức Phúc,392699,85686,1
Volume 1.05 by Mikachi,28743,6590,1
Volume 10 by A2-Team,315497,70506,1
Volume 10 by Mikachi,413050,91878,1
Volume 10.25 by Mikachi,13453,3056,1
Volume 11 by A2-Team,370025,82790,1
Volume 11 by Mikachi,388962,86338,1
Volume 11.5 by A2-Team,403800,90063,1
Volume 11.75 by A2-Team,13114,2978,1
Volume 12 by Mikachi,399995,88855,1
Volume 12.5 by me,378134,82205,1
Volume 12.5 by Mikachi,416866,92836,1
Volume 2 by Fisherman,422831,94723,1
Volume 2 by Rom-Com iz da bezt,359772,80954,1
Volume 2 by Đức Phúc,396587,87424,1
Volume 3 by Fisherman,453165,102350,1
Volume 3 by Rom-Com iz da bezt,363234,82352,1
Volume 4 by Fisherman,449617,101135,1
Volume 4 by Rom-Com iz da bezt,371208,83084,1
Volume 4.5 by A2-Team,376396,87407,1
Volume 4.5 by Fisherman,434391,96620,1
Volume 5 by A2-Team,412650,91057,1
Volume 5 by Fisherman,438061,97802,1
Volume 6 by A2-Team,386459,86859,1
Volume 6 by Fisherman,412243,91231,1
Volume 7 by A2-Team,348990,77636,1
Volume 7 by Fisherman,412421,92901,1
Volume 7.5 by A2-Team,355746,79334,1
Volume 8 by A2-Team,360856,79451,1
Volume 8 by Mikachi,406105,91062,1
Volume 9 by A2-Team,280767,61381,1
Volume 9 by Mikachi,418522,93234,1
Volume 9.5 by Mikachi,358540,79724,1
Volume 9.75 by Mikachi,15176,3367,1
