filename,character_count,word_count,line_count
Arc 10_ Giải Cứu Charlotte_Chương 260_ Hẹn Hò Cùng Các Nữ Sinh Lớp 1-A,14346,3208,1
Arc 10_ Giải Cứu Charlotte_Chương 261_ Mối Quan Hệ Giữa Olivia Và Ellen,15686,3539,1
Arc 10_ Giải Cứu Charlotte_Chương 262_ Mối Nguy Hiểm Cận Kề Với Charlotte,10957,2490,1
Arc 10_ Giải Cứu Charlotte_Chương 263_ Hẹn Hò Với Charlotte (1) - Ngôn Ngữ Của Hoa Pansy,12220,2766,1
Arc 10_ Giải Cứu Charlotte_Chương 264_ Hẹn Hò Với Charlotte (2) - Tiến Đến Cung Điện Mùa Xuân,19763,4423,1
Arc 10_ Giải Cứu Charlotte_Chương 265_ Hẹn Hò Với Charlotte (3) - Lẹt Gô Phòng Ngủ Charlotte,15954,3520,1
Arc 10_ Giải Cứu Charlotte_Chương 266_ Hẹn Hò Với Charlotte (4) - Em Chỉ Cần Được Nghe Điều Đó Từ Anh,20463,10232,1
Arc 10_ Giải Cứu Charlotte_Chương 267_ Charlotte Gặp Nguy Hiểm,21835,10918,1
Arc 10_ Giải Cứu Charlotte_Chương 268_ Giải Cứu Charlotte (1) - Đột Nhập Vào Cung Điện Mùa Xuân,12948,2931,1
Arc 10_ Giải Cứu Charlotte_Chương 269_ Giải Cứu Charlotte (2) - Dark Charlotte Xuất Hiện,17973,8987,1
"Arc 10_ Giải Cứu Charlotte_Chương 270_ Giải Cứu Charlotte (3) - Dark Charlotte & Reinhardt, Saviolin Tana",14821,3339,1
Arc 10_ Giải Cứu Charlotte_Chương 271_ Giải Cứu Charlotte (4) - _Anh Sẽ Luôn Luôn Bảo Vệ Em_,26229,5855,1
Arc 10_ Giải Cứu Charlotte_Chương 272_ Động Phòng Cùng Charlotte (1) -  Chìa Khoá Liên Kết,32217,16109,1
Arc 10_ Giải Cứu Charlotte_Chương 273_ Động Phòng Cùng Charlotte (2) - Sức Mạnh Của [Linh Ngôn] Và Niềm Tin Vào Người Thân Yêu,19707,4490,1
Arc 11_ Học Viện Hội Temple_Chương 274_ Trở Về Temple,14754,3326,1
Arc 11_ Học Viện Hội Temple_Chương 275_ Lời Thách Thức Của Olivia Dành Cho Ellen,18731,9366,1
Arc 11_ Học Viện Hội Temple_Chương 276_ Kẻ Tổn Thương Lại Muốn Làm Tổn Thương Người Khác,14948,3351,1
Arc 11_ Học Viện Hội Temple_Chương 277_  Con Lươn Mang Tên Reinhardt,22827,11414,1
Arc 11_ Học Viện Hội Temple_Chương 278_ Lôi Kéo Cliffman Tham Gia Mr Temple,16346,3696,1
Arc 11_ Học Viện Hội Temple_Chương 279_ Quyết Định Của Harriet Và Ellen,20567,10284,1
Arc 11_ Học Viện Hội Temple_Chương 280_ Thú Vui Mới Của Liana,12985,2915,1
Arc 11_ Học Viện Hội Temple_Chương 281_ Tính Cách Của Saviolin Tana,17051,8526,1
Arc 11_ Học Viện Hội Temple_Chương 282_ Đi Dạo Đêm Cùng Saviolin Tana,17863,8932,1
Arc 11_ Học Viện Hội Temple_Chương 283_ Nhận Được Lời Mời Đi Ăn Cùng Charlotte,11754,2674,1
Arc 11_ Học Viện Hội Temple_Chương 284_ Hẹn Hò Cùng Charlotte và Scarlett,24471,12236,1
Arc 11_ Học Viện Hội Temple_Chương 285_ Giải Đấu Năm Nhất (1) - Tiến Vào Vòng Chính,23369,11685,1
Arc 11_ Học Viện Hội Temple_Chương 286_ Chuẩn Bị Cho Cuộc Thi Cosplay Nữ Sinh,23601,11801,1
Arc 11_ Học Viện Hội Temple_Chương 287_ Adriana Ở Tu Viện Công Quốc Saint-Owan,19571,9786,1
Arc 11_ Học Viện Hội Temple_Chương 288_ Lễ Hội Học Viện Temple Khai Màn,11728,2682,1
Arc 11_ Học Viện Hội Temple_Chương 289_ Giải Đấu Năm Nhất (2) - Khai Màn Vòng Chính,31859,15930,1
Arc 11_ Học Viện Hội Temple_Chương 290_ Giải Đấu Năm Nhất (3) - Tiến Vào Vòng Tứ Kết,15611,3487,1
Arc 11_ Học Viện Hội Temple_Chương 291_ Giải Đấu Năm Nhất (4) - Reinhardt & Richard Howlman,14387,3242,1
Arc 11_ Học Viện Hội Temple_Chương 292_ Trò Chuyện Cùng Ludwig,17617,8809,1
Arc 11_ Học Viện Hội Temple_Chương 293_ Giải Đấu Năm Nhất (5) - Reinhardt & Scarlett,24887,12444,1
Arc 11_ Học Viện Hội Temple_Chương 294_ Giải Đấu Năm Nhất (6) - ‘Tôi Sẽ Vẫn Là Thần Tượng Của Cậu Mãi Mãi’,22243,11122,1
